カテゴリコードlv1,カテゴリコードlv2,カテゴリコードlv3,カテゴリ名lv1,カテゴリ名lv2,カテゴリ名lv3,カテゴリ名lv3_long
13457,2494,37019,ファッション,レディースファッション,コート,レディースファッション > コート
13457,2494,37052,ファッション,レディースファッション,ジャケット,レディースファッション > ジャケット
13457,2494,36861,ファッション,レディースファッション,トップス,レディースファッション > トップス
13457,2494,36913,ファッション,レディースファッション,ボトムス,レディースファッション > ボトムス
13457,2494,36887,ファッション,レディースファッション,ワンピース、チュニック,レディースファッション > ワンピース、チュニック
13457,2494,36903,ファッション,レディースファッション,オールインワン、セットアップ,レディースファッション > オールインワン、セットアップ
13457,2494,48888,ファッション,レディースファッション,ジャージ、スウェット,レディースファッション > ジャージ、スウェット
13457,2494,1729,ファッション,レディースファッション,レディースシューズ,レディースファッション > レディースシューズ
13457,2494,1574,ファッション,レディースファッション,レディースバッグ,レディースファッション > レディースバッグ
13457,2494,1667,ファッション,レディースファッション,財布、ファッション小物,レディースファッション > 財布、ファッション小物
13457,2494,1462,ファッション,レディースファッション,下着、靴下、部屋着,レディースファッション > 下着、靴下、部屋着
13457,2494,37129,ファッション,レディースファッション,スーツ、フォーマル,レディースファッション > スーツ、フォーマル
13457,2494,37163,ファッション,レディースファッション,ドレス、ブライダル,レディースファッション > ドレス、ブライダル
13457,2494,1503,ファッション,レディースファッション,着物、浴衣,レディースファッション > 着物、浴衣
13457,2494,37524,ファッション,レディースファッション,水着,レディースファッション > 水着
13457,2494,37529,ファッション,レディースファッション,学生服,レディースファッション > 学生服
13457,2494,37557,ファッション,レディースファッション,コスチューム、コスプレ衣装,レディースファッション > コスチューム、コスプレ衣装
13457,2494,1750,ファッション,レディースファッション,その他,ファッション > レディースファッション > その他
13457,2495,36571,ファッション,メンズファッション,コート、アウター,メンズファッション > コート、アウター
13457,2495,36583,ファッション,メンズファッション,ジャケット,メンズファッション > ジャケット
13457,2495,36504,ファッション,メンズファッション,トップス,メンズファッション > トップス
13457,2495,36624,ファッション,メンズファッション,ボトムス、パンツ,メンズファッション > ボトムス、パンツ
13457,2495,48271,ファッション,メンズファッション,つなぎ、オールインワン,メンズファッション > ボトムス、パンツ > つなぎ、オールインワン
13457,2495,48895,ファッション,メンズファッション,ジャージ、スウェット,メンズファッション > ジャージ、スウェット
13457,2495,1740,ファッション,メンズファッション,メンズシューズ、紳士靴,ファッション > メンズファッション > メンズシューズ、紳士靴
13457,2495,1582,ファッション,メンズファッション,メンズバッグ,メンズファッション > メンズバッグ
13457,2495,1695,ファッション,メンズファッション,財布、ファッション小物,メンズファッション > 財布、ファッション小物
13457,2495,1545,ファッション,メンズファッション,下着、靴下、部屋着,メンズファッション > 下着、靴下、部屋着
13457,2495,36699,ファッション,メンズファッション,ワイシャツ,メンズファッション > ワイシャツ
13457,2495,36717,ファッション,メンズファッション,ネクタイ,メンズファッション > ネクタイ
13457,2495,36672,ファッション,メンズファッション,スーツ、フォーマル,メンズファッション > スーツ、フォーマル
13457,2495,1571,ファッション,メンズファッション,着物、メンズ浴衣,メンズファッション > 着物、メンズ浴衣
13457,2495,36743,ファッション,メンズファッション,メンズ水着,ファッション > メンズファッション > メンズ水着
13457,2495,36736,ファッション,メンズファッション,学生服,メンズファッション > 学生服
13457,2495,37644,ファッション,メンズファッション,その他メンズファッション,メンズファッション > その他メンズファッション
13457,2496,5192,ファッション,腕時計、アクセサリー,メンズ腕時計,ファッション > 腕時計、アクセサリー > メンズ腕時計
13457,2496,5190,ファッション,腕時計、アクセサリー,レディース腕時計,ファッション > 腕時計、アクセサリー > レディース腕時計
13457,2496,48663,ファッション,腕時計、アクセサリー,ペアウォッチ,腕時計、アクセサリー > ペアウォッチ
13457,2496,1639,ファッション,腕時計、アクセサリー,腕時計用品,ファッション > 腕時計、アクセサリー > 腕時計用品
13457,2496,40974,ファッション,腕時計、アクセサリー,スマートウォッチ,腕時計、アクセサリー > スマートウォッチ
13457,2496,1643,ファッション,腕時計、アクセサリー,懐中時計,ファッション > 腕時計、アクセサリー > 懐中時計
13457,2496,1591,ファッション,腕時計、アクセサリー,レディースアクセサリー,ファッション > 腕時計、アクセサリー > レディースアクセサリー
13457,2496,1605,ファッション,腕時計、アクセサリー,メンズアクセサリー,ファッション > 腕時計、アクセサリー > メンズアクセサリー
13457,2496,5184,ファッション,腕時計、アクセサリー,ペアアクセサリー,ファッション > 腕時計、アクセサリー > ペアアクセサリー
13457,2496,40965,ファッション,腕時計、アクセサリー,ブライダルアクセサリー,腕時計、アクセサリー > ブライダル
13457,2496,1637,ファッション,腕時計、アクセサリー,宝石ルース、裸石,宝石ルース、裸石
13457,2496,50487,ファッション,腕時計、アクセサリー,インゴット,
2498,2499,17583,食品,ドリンク、水、お酒,水、炭酸水,食品 >ドリンク、水、お酒 > 水、炭酸水
2498,2499,1371,食品,ドリンク、水、お酒,ワイン,食品 > ドリンク、水、お酒 > ワイン
2498,2499,1348,食品,ドリンク、水、お酒,焼酎,食品 > ドリンク、水、お酒 > 焼酎
2498,2499,1359,食品,ドリンク、水、お酒,日本酒,食品 > ドリンク、水、お酒 > 日本酒
2498,2499,15152,食品,ドリンク、水、お酒,ビール、発泡酒,食品 > ドリンク、水、お酒  > ビール類、発泡酒
2498,2499,18161,食品,ドリンク、水、お酒,ハイボール、チューハイ,食品 > ドリンク、水、お酒 > ハイボール、チューハイ
2498,2499,18176,食品,ドリンク、水、お酒,カクテル,食品 > ドリンク、水、お酒 > カクテル
2498,2499,4746,食品,ドリンク、水、お酒,洋酒,食品 > ドリンク、お酒 > 洋酒
2498,2499,41170,食品,ドリンク、水、お酒,リキュール,食品 > ドリンク、お酒 > リキュール
2498,2499,18377,食品,ドリンク、水、お酒,梅酒、果実酒,食品 > ドリンク、水、お酒 > 梅酒、果実酒
2498,2499,18383,食品,ドリンク、水、お酒,中国酒、紹興酒,食品 > ドリンク、水、お酒 > 中国酒、紹興酒
2498,2499,18389,食品,ドリンク、水、お酒,韓国酒、マッコリ,食品 > ドリンク、水、お酒 > 韓国酒、マッコリ
2498,2499,1381,食品,ドリンク、水、お酒,コーヒー,食品 > ドリンク、水、お酒  > コーヒー
2498,2499,1385,食品,ドリンク、水、お酒,紅茶,食品 > ドリンク、お酒 > 紅茶
2498,2499,41208,食品,ドリンク、水、お酒,フレーバーティー,食品 > ドリンク、お酒 > フレーバーティー
2498,2499,17318,食品,ドリンク、水、お酒,ハーブティー,食品 > ドリンク、水、お酒 > ハーブティー
2498,2499,17341,食品,ドリンク、水、お酒,ココア,食品 > ドリンク、水、お酒 > ココア
2498,2499,1399,食品,ドリンク、水、お酒,緑茶、日本茶,食品 > ドリンク、お酒 > 緑茶、日本茶
2498,2499,17438,食品,ドリンク、水、お酒,中国茶,食品 > ドリンク、水、お酒 > 中国茶
2498,2499,17487,食品,ドリンク、水、お酒,健康茶,食品 > ドリンク、水、お酒 > 健康茶
2498,2499,1426,食品,ドリンク、水、お酒,ソフトドリンク、ジュース,食品 > ドリンク、水、お酒 >ソフトドリンク、ジュース
2498,2499,1378,食品,ドリンク、水、お酒,その他ドリンク、水、お酒,食品 > ドリンク、水、お酒 > その他ドリンク、水、お酒
2498,4744,14628,食品,スイーツ、洋菓子,チョコレート,食品 > スイーツ、洋菓子 > チョコレート
2498,4744,15920,食品,スイーツ、洋菓子,チーズケーキ,食品 > スイーツ、洋菓子 > チーズケーキ
2498,4744,15926,食品,スイーツ、洋菓子,チョコレートケーキ,食品 > スイーツ、洋菓子 > チョコレートケーキ
2498,4744,41255,食品,スイーツ、洋菓子,デコレーション、ショートケーキ,食品 > スイーツ、洋菓子 > デコレーション、ショートケーキ
2498,4744,15931,食品,スイーツ、洋菓子,ロールケーキ,食品 > スイーツ、洋菓子 > ロールケーキ
2498,4744,48849,食品,スイーツ、洋菓子,カップケーキ,食品 > スイーツ、洋菓子 > カップケーキ
